ก็จะเมื่อยตา	go ja muey dta	gɔ̄ˋ jaˇ mɯ̄aiˋ dā	眼睛就會痠	engine-auto	
ดูทีวี	du tv	dhū tī wī	看電視	engine-auto	
ดูหมอ	du mor	dhū mɔ̄ˊ	算命	engine-auto	
ไปดูหมอ	bpai du mor	bai dhū mɔ̄ˊ	去算命	engine-auto	
โชคไม่ดี	chok mai dee	chōkˋ maiˋ dhī	運氣不好	engine-auto	
ก็เลยไปดูหมอ	gloeey bpai du mor	gɔ̄ˋ lə̄i bai dhū mɔ̄ˊ	所以去算命	engine-auto	
โชคไม่ดี ก็เลยไปดูหมอ	chok mai dee gloeey bpai du mor	chōkˋ maiˋ dhī gɔ̄ˋ lə̄i bai dhū mɔ̄ˊ	運氣不好，所以去算命	engine-auto	
หมอดู	mor du	mɔ̄ˊ dhū	算命師	engine-auto	
เก่งมาก	geng mak	gēngˇ mākˋ	很厲害	engine-auto	
หมอดูเก่งมาก	mor du geng mak	mɔ̄ˊ dhū gēngˇ mākˋ	算命師很厲害	engine-auto	
หมอดูคนนี้	mor du khon ni	mɔ̄ˊ dhū kon nī~	這位算命師	engine-auto	
หมอดูคนนี้เก่งมาก	mor du khon ni geng mak	mɔ̄ˊ dhū kon nī~ gēngˇ mākˋ	這位算命師很厲害	engine-auto	
โทร	tho	tōn	打電話	engine-auto	
จอง	jong	jɔ̄ng	訂位、預約	engine-auto	
โทรไปจองร้านอาหาร	tho bpai jong ran a-han	tōn bai jɔ̄ng rān~ ā hānˊ	打電話去訂餐廳	engine-auto	
ที่นั่ง	thi nang	tīˋ nangˋ	座位	engine-auto	
โทรไปจองที่นั่ง	tho bpai jong thi nang	tōn bai jɔ̄ng tīˋ nangˋ	打電話去訂位	engine-auto	
โทรไปหาเพื่อน	tho bpai ha pheuan	tōn bai hāˊ pɯ̄anˋ	打電話給朋友	engine-auto	
โทรมาทำไม	tho ma tam mai	tōn mā tam mai	打來幹嘛？	engine-auto	
ยินดีต้อนรับ	yin dee ton rap	yin dhī dɔ̄nˋ rap~	歡迎光臨	engine-auto	
ยินดีที่ได้รู้จัก	yin dee thi dai ru jak	yin dhī tīˋ dhaiˋ rū~ jakˇ	很高興認識你	engine-auto	
ผมชื่อเบียร์	pom chue beer	pomˊ chɯ̄ˋ bhīa	我叫Beer	engine-auto	
ต่อ	to	dɔ̄ˇ	繼續	engine-auto	
บ้าน	ban	bhānˋ	家	engine-auto	
แม่บ้าน	mae ban	mɛ̄ˋ bhānˋ	家庭主婦	book-exact	(book-exact已用引擎重新驗證)
บ้านเพื่อน	ban pheuan	bhānˋ pɯ̄anˋ	朋友家	engine-auto	
ไปบ้านเพื่อน	bpai ban pheuan	bai bhānˋ pɯ̄anˋ	去朋友家	engine-auto	
ไปนอนบ้านเพื่อน	bpai non ban pheuan	bai nɔ̄n bhānˋ pɯ̄anˋ	去朋友家睡覺	engine-auto	
บ้านผม / บ้านฉัน	ban pom / ban chan	bhānˋ pomˊ / bhānˋ chanˊ	我的家	engine-auto	
บ้านคุณ	ban khun	bhānˋ kun	你家	engine-auto	
บ้านคุณใหญ่มาก	ban khun yai mak	bhānˋ kun yaiˇ mākˋ	你家好大	engine-auto	
บ้านคุณสวยมาก	ban khun suay mak	bhānˋ kun sūayˊ mākˋ	你家好漂亮	engine-auto	
สร้าง	saang	srāngˋ	蓋	engine-auto	
สร้างบ้าน	saang ban	srāngˋ bhānˋ	蓋房子	engine-auto	
สร้างสถานีรถไฟฟ้า	saang sathani rot fai fa	srāngˋ saˇ tāˊ nī rot~ fai fā~	蓋捷運站	engine-auto	
ที่	thi	tīˋ	地方	engine-auto	
ที่ฝากของ	thi fak khong	tīˋ fākˇ kɔ̄ngˊ	寄物處	engine-auto	
ที่นั่ง	thi nang	tīˋ nangˋ	座位	engine-auto	
คนท้อง	khon thong	kon tɔ̄ng~	孕婦	engine-auto	
ที่นั่งคนท้อง	thi nang khon thong	tīˋ nangˋ kon tɔ̄ng~	孕婦的座位	engine-auto	
ที่อยู่	thi yuu	tīˋ yūˋ	住址	engine-auto	
คุณอยู่ที่ไหน	khun yuu thi nai	kun yūˋ tīˋ naiˊ	你住在哪裡？	engine-auto	
ต้องมีที่อยู่	tong mee thi yuu	dɔ̄ngˋ mī tīˋ yūˋ	必須有住址	engine-auto	
ขอที่อยู่หน่อย	kho thi yuu noi	kɔ̄ˊ tīˋ yūˋ nɔ̄iˇ	請給我你的地址	engine-auto	
ที่ดิน	thi din	tīˋ dhin	土地	engine-auto	
ซื้อที่ดิน	seu thi din	sɯ̄~ tīˋ dhin	買土地	engine-auto	
ซื้อที่ดินไม่ได้	seu thi din mai dai	sɯ̄~ tīˋ dhin maiˋ dhaiˋ	不能買土地	engine-auto	
แล้วก็	laew go	lɛ̄u~ gɔ̄ˋ	然後	engine-auto	
แล้วก็ต้มยำกุ้ง	laew go tom yam gung	lɛ̄u~ gɔ̄ˋ domˋ yam gungˋ	然後是冬蔭功	engine-auto	
แล้วก็ไปเชียงใหม่	laew go bpai chiang mai	lɛ̄u~ gɔ̄ˋ bai chīang maiˇ	然後去清邁	engine-auto	
แล้วก็ไปพัทยา	laew go bpai pattaya	lɛ̄u~ gɔ̄ˋ bai pat~ yā	然後去芭達雅	engine-auto	
แล้วก็ไปห้องน้ำ	laew go bpai hong nam	lɛ̄u~ gɔ̄ˋ bai hɔ̄ngˋ nām~	然後去洗手間	engine-auto	
ใช้บ่อย	chai boi	chai~ bhɔ̄iˇ	常用	engine-auto	
เสียดาย	sia dai	sīaˊ dhāi	可惜	engine-auto	
กินข้าวด้วยกัน	gin khao duay kan	gin kāuˋ dhūayˋ gan	一起吃飯	engine-auto	
แต่งงานแล้ว	taeng ngaan laew	dɛ̄ngˇ ngān lɛ̄u~	結婚了	engine-auto	
ไปไม่ได้	bpai mai dai	bai maiˋ dhaiˋ	去不了	engine-auto	
เสียดาย	sia dai	sīaˊ dhāi	可惜	engine-auto	
เสียดาย ไปไม่ได้	sia dai bpai mai dai	sīaˊ dhāi bai maiˋ dhaiˋ	可惜，不能去	engine-auto	
เล่นเกม	len game	lēnˋ gēm	玩遊戲	engine-auto	
เล่นเกมออนไลน์	len game online	lēnˋ gēm ɔ̄n lai	玩線上遊戲	engine-auto	
เราซื่อก็เล่นเกมออนไลน์	rao sue go len game online	rāu sɯ̄ˋ gɔ̄ˋ lēnˋ gēm ɔ̄n lai	老師也玩線上遊戲	engine-auto	
ซื้อของออนไลน์	seu khong online	sɯ̄~ kɔ̄ngˊ ɔ̄n lai	線上買東西	engine-auto	
ไปเที่ยว	bpai tiao	bai tīauˋ	去玩	book-exact	(book-exact已用引擎重新驗證)
ฝาก	fak	fākˇ	寄	engine-auto	
กระเป๋า	gra pao	graˇ bāuˊ	包包、行李	engine-auto	
ฝากกระเป๋า	fak gra pao	fākˇ graˇ bāuˊ	寄行李	engine-auto	
ขอฝากกระเป๋าได้ไหมคะ	kho fak gra pao dai mai kha	kɔ̄ˊ fākˇ graˇ bāuˊ dhaiˋ maiˊ ka~	可以寄放行李嗎？	engine-auto	
ฝากกระเป๋าหน่อยได้ไหมคะ	fak gra pao noi dai mai kha	fākˇ graˇ bāuˊ nɔ̄iˇ dhaiˋ maiˊ ka~	寄放一下行李	engine-auto	
ที่ฝากของ	thi fak khong	tīˋ fākˇ kɔ̄ngˊ	寄物處	engine-auto	
เงิน	ngern	ngə̄n	錢	engine-auto	
มีเงิน	mee ngern	mī ngə̄n	有錢	engine-auto	
ใช้เงิน	chai ngern	chai~ ngə̄n	花錢	engine-auto	
เสียเงิน	sia ngern	sīaˊ ngə̄n	浪費錢	engine-auto	
อาหารทะเลสดไหม	a han thale sot mai	ā hānˊ ta~ lē sotˇ maiˊ	海鮮新鮮嗎？	engine-auto	
ตลาดสด	talad sot	daˇ lātˋ sotˇ	菜市場	engine-auto	
เงินสด	ngern sot	ngə̄n sotˇ	現金	engine-auto	
เงินบาท	ngern baht	ngə̄n bhātˇ	泰銖	engine-auto	
เงินเยน	ngern yen	ngə̄n yēn	日幣	engine-auto	
เงินดอลลาร์ไต้หวัน	ngern dollar taiwan	ngə̄n dhɔ̄n lā daiˋ wanˊ	台幣	engine-auto	
US ดอลลาร์	US dollar	US dhɔ̄n lā	美金	engine-auto	
ทอง	thong	tɔ̄ng	黃金	engine-auto	
ต้องซื้อทอง	tong seu thong	dɔ̄ngˋ sɯ̄~ tɔ̄ng	要買黃金	engine-auto	
ทองคำ	thong kham	tɔ̄ng kam	金子	engine-auto	
ทองแดง	thong daeng	tɔ̄ng dhɛ̄ng	銅	engine-auto	
หน้าแดง	na daeng	nāˋ dhɛ̄ng	臉紅	engine-auto	
ปากแดง	pak daeng	bākˇ dhɛ̄ng	嘴巴紅	engine-auto	
แดง	daeng	dhɛ̄ng	紅色	engine-auto	
ทองแดง	thong daeng	tɔ̄ng dhɛ̄ng	銅（陛下愛犬的名字）	engine-auto	
คุณทองแดง	khun thong daeng	kun tɔ̄ng dhɛ̄ng	（尊稱）	engine-auto	
ร้านทอง	ran thong	rān~ tɔ̄ng	金飾店	engine-auto	
เหรียญ	rien	rīanˊ	硬幣	engine-auto	
เหรียญทอง	rien thong	rīanˊ tɔ̄ng	金牌	engine-auto	
เหรียญเงิน	rien ngern	rīanˊ ngə̄n	銀牌	engine-auto	
เงิน	ngern	ngə̄n	錢、銀	engine-auto	
เหรียญทองแดง	rien thong daeng	rīanˊ tɔ̄ng dhɛ̄ng	銅牌	engine-auto	
เหรียญสิบ	rien sip	rīanˊ sipˇ	十元硬幣	engine-auto	
เหรียญห้า	rien ha	rīanˊ hāˋ	五元硬幣	engine-auto	
เหรียญบาท	rien baht	rīanˊ bhātˇ	一元硬幣	engine-auto	
เหรียญห้าสิบ	rien ha sip	rīanˊ hāˋ sipˇ	五十元硬幣（台幣）	engine-auto	
แบงค์	baeng	bhɛ̄ng	紙鈔（口語）	engine-auto	
แบงค์ยี่สิบ	baeng yee sip	bhɛ̄ng yīˋ sipˇ	二十元紙鈔	engine-auto	
แบงค์ห้าสิบ	baeng ha sip	bhɛ̄ng hāˋ sipˇ	五十元紙鈔	engine-auto	
แบงค์ร้อย	baeng roi	bhɛ̄ng rɔ̄i~	一百元紙鈔	engine-auto	
แบงค์ห้าร้อย	baeng ha roi	bhɛ̄ng hāˋ rɔ̄i~	五百元紙鈔	engine-auto	
แบงค์พัน	baeng phan	bhɛ̄ng pan	一千元紙鈔	engine-auto	
โต๊ะ	to	do~	桌子	engine-auto	
โต๊ะอาหาร	to a-han	do~ ā hānˊ	餐桌	engine-auto	
ทำงาน	tham ngaan	tam ngān	工作	engine-auto	
ทำงานที่ไหน	tham ngaan thi nai	tam ngān tīˋ naiˊ	在哪裡工作？	engine-auto	
ทำงานที่เมืองไทย	tham ngaan thi mueang thai	tam ngān tīˋ mɯ̄ang tai	在泰國工作	engine-auto	
แต่งงาน	taeng ngaan	dɛ̄ngˇ ngān	結婚	engine-auto	
โต๊ะทำงาน	to tham ngaan	do~ tam ngān	辦公桌；書桌	engine-auto	
โต๊ะจีน	to jeen	do~ jīn	中式辦桌	engine-auto	
เก้าอี้	kao ii	gāuˋ īˋ	椅子	engine-auto	
เก้าอี้ไม้	kao ii mai	gāuˋ īˋ mai~	木椅	engine-auto	
ไม้	mai	mai~	木頭；串	engine-auto	
หมูปิ้งไม้ละเท่าไหร่	moo ping mai la thao rai	mūˊ bingˋ mai~ la~ tāuˋ raiˇ	烤豬肉一串多少錢？	engine-auto	
ขอเก้าอี้เด็ก	kho kao ii dek	kɔ̄ˊ gāuˋ īˋ dhekˇ	我想要一張兒童椅	engine-auto	
มีเก้าอี้เด็กไหม	mee kao ii dek mai	mī gāuˋ īˋ dhekˇ maiˊ	有兒童椅嗎？	engine-auto	
ตัว	tua	dūa	（張、個、隻）	engine-auto	
เก้าอี้ตัวนี้	kao ii tua ni	gāuˋ īˋ dūa nī~	這張椅子	engine-auto	
ขอเก้าอี้ 2 ตัว	kho kao ii song tua	kɔ̄ˊ gāuˋ īˋ 2 dūa	我想要兩張椅子	engine-auto	
หนัง	nang	nangˊ	皮；電影	book-exact	(book-exact已用引擎重新驗證)
หนังหมู	nang moo	nangˊ mūˊ	豬皮	engine-auto	
ชอบกินหนังหมู	chop gin nang moo	chɔ̄pˋ gin nangˊ mūˊ	喜歡吃豬皮	engine-auto	
ชอบกินหนังหมูไหมคะ	chop gin nang moo mai kha	chɔ̄pˋ gin nangˊ mūˊ maiˊ ka~	喜歡吃豬皮嗎？	engine-auto	
ฉันไม่ชอบกินหนังหมู	chan mai chop gin nang moo	chanˊ maiˋ chɔ̄pˋ gin nangˊ mūˊ	我不喜歡吃豬皮	engine-auto	
หนังไก่	nang gai	nangˊ gaiˇ	雞皮	engine-auto	
หนังเป็ด	nang pet	nangˊ betˇ	鴨皮	engine-auto	
ไปดูหนังด้วยกัน	bpai du nang duay kan	bai dhū nangˊ dhūayˋ gan	一起去看電影	engine-auto	
หนังอะไร	nang a-rai	nangˊ aˇ rai	什麼電影？	engine-auto	
หนังผี	nang phee	nangˊ pīˊ	鬼片	engine-auto	
ผี	phee	pīˊ	鬼	engine-auto	
ชอบดูหนังผีไหมคะ	chop du nang phee mai kha	chɔ̄pˋ dhū nangˊ pīˊ maiˊ ka~	喜歡看鬼片嗎？	engine-auto	
ไม่ดูหนังผี	mai du nang phee	maiˋ dhū nangˊ pīˊ	不看鬼片	engine-auto	
ไปดูหนัง	bpai du nang	bai dhū nangˊ	去看電影	engine-auto	
ชอบไปดูหนังไหมคะ	chop bpai du nang mai kha	chɔ̄pˋ bai dhū nangˊ maiˊ ka~	喜歡去看電影嗎？	engine-auto	
หนังสือ	nang sue	nangˊ sɯ̄ˊ	書	engine-auto	
หนังสือไทย	nang sue thai	nangˊ sɯ̄ˊ tai	泰文書	engine-auto	
การ์ตูน	cartoon	gā dūn	卡通	engine-auto	
หนังสือการ์ตูน	nang sue cartoon	nangˊ sɯ̄ˊ gā dūn	漫畫	engine-auto	
เด็กๆ ชอบอ่านหนังสือการ์ตูน	dek dek chop aan nang sue cartoon	dhekˇ dhekˇ chɔ̄pˋ ānˇ nangˊ sɯ̄ˊ gā dūn	小孩子喜歡看漫畫	engine-auto	
ชอบอ่านหนังสือไหม	chop aan nang sue mai	chɔ̄pˋ ānˇ nangˊ sɯ̄ˊ maiˊ	喜歡看書嗎？	engine-auto	
เฉยๆ	choey choey	chə̄iˊ chə̄iˊ	還好；普普通通	engine-auto	
อ่านหนังสือ	aan nang sue	ānˇ nangˊ sɯ̄ˊ	看書	engine-auto	
หนังสือพิมพ์	nang sue phim	nangˊ sɯ̄ˊ pim	報紙	engine-auto	
หนังสือพิมพ์จีน	nang sue phim jeen	nangˊ sɯ̄ˊ pim jīn	中文報紙	engine-auto	
ปากกา	pak ga	bākˇ gā	筆	engine-auto	
ปาก	pak	bākˇ	嘴巴	engine-auto	
กา	ga	gā	烏鴉	engine-auto	
มีปากกาไหม	mee pak ga mai	mī bākˇ gā maiˊ	有筆嗎？	engine-auto	
ปากกาแดง	pak ga daeng	bākˇ gā dhɛ̄ng	紅筆	engine-auto	
ปากกาดำ	pak ga dam	bākˇ gā dham	黑筆	engine-auto	
ดินสอ	din sor	dhin sɔ̄ˊ	鉛筆	engine-auto	
ที่ดิน	thi din	tīˋ dhin	土地	engine-auto	
ดิน	din	dhin	土	engine-auto	
ดินสอสี	din sor see	dhin sɔ̄ˊ sīˊ	彩色筆	engine-auto	
สี	see	sīˊ	顏色	engine-auto	
ผมขาว	phom khaow	pomˊ kāuˊ	白頭髮	engine-auto	
สีขาว	see khaow	sīˊ kāuˊ	白色	engine-auto	
สีแดง	see daeng	sīˊ dhɛ̄ng	紅色	engine-auto	
สีดำ	see dam	sīˊ dham	黑色	engine-auto	
กล่องดินสอ	glong din sor	glɔ̄ngˇ dhin sɔ̄ˊ	鉛筆盒	engine-auto	
กล่อง	glong	glɔ̄ngˇ	盒子	engine-auto	
กระดาษ	gra daat	graˇ dhātˇ	紙	engine-auto	
กระดาษเปล่า	gra daat plao	graˇ dhātˇ blāuˇ	白紙	engine-auto	
ข้าวเปล่า	khao plao	kāuˋ blāuˇ	白飯	engine-auto	
น้ำเปล่า	nam plao	nām~ blāuˇ	白開水	engine-auto	
ทิชชู่	tissue	tit~ chūˋ	衛生紙	engine-auto	
กระดาษทิชชู่	gra daat tissue	graˇ dhātˇ tit~ chūˋ	衛生紙	engine-auto	
ในห้องน้ำมีทิชชู่ไหม	nai hong nam mee tissue mai	nai hɔ̄ngˋ nām~ mī tit~ chūˋ maiˊ	廁所有衛生紙嗎？	engine-auto	
รีไซเคิล	recycle	rī sai kə̄n	回收	engine-auto	
กระดาษรีไซเคิล	gra daat recycle	graˇ dhātˇ rī sai kə̄n	回收紙	engine-auto	
เอาไปรีไซเคิล	ao bpai recycle	au bai rī sai kə̄n	拿去回收	engine-auto	
ฝากกระเป๋า	fak gra pao	fākˇ graˇ bāuˊ	寄放行李	engine-auto	
กระเป๋า	gra pao	graˇ bāuˊ	包包	engine-auto	
เงิน	ngern	ngə̄n	錢	engine-auto	
กระเป๋าเงิน	gra pao ngern	graˇ bāuˊ ngə̄n	錢包	engine-auto	
หนังสือ	nang sue	nangˊ sɯ̄ˊ	書	engine-auto	
กระเป๋าหนังสือ	gra pao nang sue	graˇ bāuˊ nangˊ sɯ̄ˊ	書包	engine-auto	
ใบ	bai	bhai	（個、張、片）	engine-auto	
ตั๋วใบละเท่าไหร่	tua bai la thao rai	dūaˊ bhai la~ tāuˋ raiˇ	一張票多少錢？	engine-auto	
กระเป๋าใบนี้	gra pao bai ni	graˇ bāuˊ bhai nī~	這個包包	engine-auto	
เป้	bpai	bēˋ	背包	engine-auto	
กระเป๋าเป้	gra pao bpai	graˇ bāuˊ bēˋ	背包	engine-auto	
เป้ใบนี้สวยไหม	bpai bai ni suay mai	bēˋ bhai nī~ sūayˊ maiˊ	這個背包好看嗎？	engine-auto	
กระเป๋าเดินทาง	gra pao dern thang	graˇ bāuˊ dhə̄n tāng	行李箱	engine-auto	
เดินทาง	dern thang	dhə̄n tāng	旅行；通行	engine-auto	
เดิน	dern	dhə̄n	走路	engine-auto	
ทาง	thang	tāng	路	engine-auto	
ทำไมไม่ออกมา	tam mai mai ok ma	tam mai maiˋ ɔ̄kˇ mā	為什麼不出來？	engine-auto	
เก็บกระเป๋า	geb gra pao	gepˇ graˇ bāuˊ	收拾行李	engine-auto	
เก็บตังค์	geb tang	gepˇ dang	結帳；買單	engine-auto	
เก็บกระเป๋าไปเที่ยว	geb gra pao bpai tiao	gepˇ graˇ bāuˊ bai tīauˋ	收拾行李去玩	engine-auto	
มือถือ	mue thue	mɯ̄ tɯ̄ˊ	手機	engine-auto	
ถือ	thue	tɯ̄ˊ	拿；提	engine-auto	
กระเป๋าถือ	gra pao thue	graˇ bāuˊ tɯ̄ˊ	手提包	engine-auto	
ถือกระเป๋า	thue gra pao	tɯ̄ˊ graˇ bāuˊ	提著包包	engine-auto	
ปลอม	plom	blɔ̄m	假的	engine-auto	
กระเป๋าหลุยส์ปลอม	gra pao louis plom	graˇ bāuˊ luiˊ blɔ̄m	假的LV包	engine-auto	
หลุยส์ปลอม	louis plom	luiˊ blɔ̄m	假的LV	engine-auto	
ฟันปลอม	fan plom	fan blɔ̄m	假牙	engine-auto	
ของปลอม	khong plom	kɔ̄ngˊ blɔ̄m	假貨	engine-auto	
ใส่	sai	saiˇ	放進；穿	engine-auto	
ใส่กระเป๋า	sai gra pao	saiˇ graˇ bāuˊ	放進包包	engine-auto	
ใส่ถุงหรือกินที่นี่	sai toong rue gin thi ni	saiˇ tungˊ rɯ̄ˊ gin tīˋ nīˋ	內用還是外帶？	engine-auto	
ถุงมือ	toong mue	tungˊ mɯ̄	手套	engine-auto	
มือ	mue	mɯ̄	手	engine-auto	
ใส่ถุงมือ	sai toong mue	saiˇ tungˊ mɯ̄	戴手套	engine-auto	
ถุงกระดาษ	toong gra daat	tungˊ graˇ dhātˇ	紙袋	engine-auto	
ถุงเท้า	toong thao	tungˊ tāu~	襪子	engine-auto	
เท้า	thao	tāu~	腳	engine-auto	
ใส่ถุงเท้า	sai toong thao	saiˇ tungˊ tāu~	穿襪子	engine-auto	
รองเท้า	rong thao	rɔ̄ng tāu~	鞋子	engine-auto	
รองเท้าหนัง	rong thao nang	rɔ̄ng tāu~ nangˊ	皮鞋	engine-auto	
รองเท้าหนังสีดำ	rong thao nang see dam	rɔ̄ng tāu~ nangˊ sīˊ dham	黑色皮鞋	engine-auto	
ถอด	tot	tɔ̄tˇ	脫	engine-auto	
ถอดรองเท้า	tot rong thao	tɔ̄tˇ rɔ̄ng tāu~	脫鞋	engine-auto	
ถอดเสื้อ	tot seua	tɔ̄tˇ sɯ̄aˋ	脫衣服	engine-auto	
คอนโด	condo	kɔ̄n dhō	公寓	engine-auto	
ซื้อคอนโด	seu condo	sɯ̄~ kɔ̄n dhō	買公寓	engine-auto	
ซื้อคอนโดที่เมืองไทย	seu condo thi mueang thai	sɯ̄~ kɔ̄n dhō tīˋ mɯ̄ang tai	在泰國買公寓	engine-auto	
นักศึกษา	nak suk sa	nak~ sɯkˇ sāˊ	大學生	engine-auto	
เช่า	chao	chāuˋ	租	engine-auto	
เช่าคอนโด	chao condo	chāuˋ kɔ̄n dhō	租公寓	engine-auto	
แอร์	air	ɛ̄	冷氣	engine-auto	
ห้องแอร์	hong air	hɔ̄ngˋ ɛ̄	冷氣房	engine-auto	
มีห้องแอร์ไหม	mee hong air mai	mī hɔ̄ngˋ ɛ̄ maiˊ	有冷氣房嗎？	engine-auto	
ฉันอยากนั่งห้องแอร์ค่ะ	chan yaak nang hong air kha	chanˊ yākˋ nangˋ hɔ̄ngˋ ɛ̄ kaˋ	我想坐冷氣房	engine-auto	
รถเมล์	rot me	rot~ mē	公車	engine-auto	
รถแอร์	rot air	rot~ ɛ̄	冷氣公車	engine-auto	
ไม่มีแอร์	mai mee air	maiˋ mī ɛ̄	沒有冷氣	engine-auto	
ผมอยากนั่งรถแอร์	pom yaak nang rot air	pomˊ yākˋ nangˋ rot~ ɛ̄	我想坐冷氣公車	engine-auto	
เปิด	bpeut	bə̄tˇ	開；打開	book-exact	(book-exact已用引擎重新驗證)
เปิดแอร์	bpeut air	bə̄tˇ ɛ̄	開冷氣	engine-auto	
ร้อนมาก เปิดแอร์ได้ไหมคะ	ron mak bpeut air dai mai kha	rɔ̄n~ mākˋ bə̄tˇ ɛ̄ dhaiˋ maiˊ ka~	好熱，可以開冷氣嗎？	engine-auto	
คอมพิวเตอร์	kom piew ter	kɔ̄m piw də̄	電腦	engine-auto	
เปิดคอมพิวเตอร์	bpeut kom piew ter	bə̄tˇ kɔ̄m piw də̄	開電腦	engine-auto	
เปิดไฟ	bpeut fai	bə̄tˇ fai	開燈	engine-auto	
เล่นอินเทอร์เน็ต	len internet	lēnˋ in tə̄ net~	上網	engine-auto	
ดาวน์โหลด	download	dhāu lōtˇ	下載	engine-auto	
มอเตอร์ไซค์	motorcycle	mɔ̄ də̄ sai	摩托車	engine-auto	
วินมอเตอร์ไซค์	win motorcycle	win mɔ̄ də̄ sai	摩托計程車	engine-auto	
ขี่มอเตอร์ไซค์	khee motorcycle	kīˇ mɔ̄ də̄ sai	騎摩托車	engine-auto	
ขี่มอเตอร์ไซค์เป็นไหม	khee motorcycle pen mai	kīˇ mɔ̄ də̄ sai ben maiˊ	你會騎摩托車嗎？	engine-auto	
ขี่เป็น	khee pen	kīˇ ben	會騎	engine-auto	
ขี่มอเตอร์ไซค์ไม่เป็น	khee motorcycle mai pen	kīˇ mɔ̄ də̄ sai maiˋ ben	不會騎摩托車	engine-auto	
ยี่ห้อ	yee hor	yīˋ hɔ̄ˋ	品牌	engine-auto	
ยี่ห้ออะไร	yee hor a-rai	yīˋ hɔ̄ˋ aˇ rai	什麼品牌？	engine-auto	
เหนื่อยไหมคะ	neuy mai kha	nɯ̄aiˇ maiˊ ka~	累嗎？	engine-auto	
ทำงานเหนื่อย	tham ngaan neuy	tam ngān nɯ̄aiˇ	工作很累	engine-auto	
เรียนไม่เหนื่อย	rian mai neuy	rīan maiˋ nɯ̄aiˇ	上課不累	engine-auto	
แล้วก็	laew ko	lɛ̄u~ gɔ̄ˋ	然後	engine-auto	
กินข้าวแล้วก็ไปทำงาน	kin khao laew ko pai tham ngaan	gin kāuˋ lɛ̄u~ gɔ̄ˋ bai tam ngān	吃飯然後去工作	engine-auto	
เสียดาย	sia daai	sīaˊ dhāi	可惜	engine-auto	
ไม่มีเวลาไปเที่ยว	mai mii welaa pai thiao	maiˋ mī wē lā bai tīauˋ	沒有時間去玩	engine-auto	
ออนไลน์	on-line	ɔ̄n lai	線上	engine-auto	
เล่นเกมออนไลน์	len game on-line	lēnˋ gēm ɔ̄n lai	玩線上遊戲	engine-auto	
ช้อปปิ้งออนไลน์	chopping on-line	chɔ̄p~ bingˋ ɔ̄n lai	線上購物	engine-auto	
ซื้อของออนไลน์	seu khong on-line	sɯ̄~ kɔ̄ngˊ ɔ̄n lai	線上買東西	engine-auto	
เรียนออนไลน์	rian on-line	rīan ɔ̄n lai	線上上課	engine-auto	
เรียนภาษาไทยออนไลน์	rian phasaa thai on-line	rīan pā sāˊ tai ɔ̄n lai	線上學泰文	engine-auto	
ฝาก	faak	fākˇ	寄、放	engine-auto	
ฝากกระเป๋า	faak kra-pao	fākˇ graˇ bāuˊ	寄放行李	engine-auto	
กระเป๋าเดินทาง	kra-pao deun thang	graˇ bāuˊ dhə̄n tāng	行李	engine-auto	
ฝากกระเป๋าเดินทางได้ไหมครับ	faak kra-pao deun thang dai mai krap	fākˇ graˇ bāuˊ dhə̄n tāng dhaiˋ maiˊ krap~	可以寄放行李嗎？(男生)	engine-auto	
ฝากกระเป๋าได้ไหมครับ	faak kra-pao dai mai krap	fākˇ graˇ bāuˊ dhaiˋ maiˊ krap~	可以寄放行李嗎？(男生/口語)	engine-auto	
ฝากกระเป๋าได้ไหมคะ	faak kra-pao dai mai kha	fākˇ graˇ bāuˊ dhaiˋ maiˊ ka~	可以寄放行李嗎？(女生)	engine-auto	
ได้ค่ะ	dai kha	dhaiˋ kaˋ	可以的	engine-auto	
ฝากของ	faak khong	fākˇ kɔ̄ngˊ	寄放東西	engine-auto	
ฝากของได้ไหมครับ	faak khong dai mai krap	fākˇ kɔ̄ngˊ dhaiˋ maiˊ krap~	可以寄放東西嗎？(男生)	engine-auto	
บ้าน	baan	bhānˋ	家	engine-auto	
บ้านเพื่อน	baan phuean	bhānˋ pɯ̄anˋ	朋友家	engine-auto	
อยู่ซอย 29	yuu soi 29	yūˋ sɔ̄i 29	在29巷	engine-auto	
บ้านแฟน	baan faen	bhānˋ fɛ̄n	男/女朋友家	engine-auto	
อยู่ไกลมาก	yuu glai maak	yūˋ glai mākˋ	很遠	engine-auto	
ที่อยู่	thii yuu	tīˋ yūˋ	地址	engine-auto	
มีที่อยู่ไหม	mii thii yuu mai	mī tīˋ yūˋ maiˊ	有地址嗎？	engine-auto	
มีที่อยู่ร้านอาหารไหม	mii thii yuu raan aahaan mai	mī tīˋ yūˋ rān~ ā hānˊ maiˊ	有餐廳地址嗎？	engine-auto	
ขอที่อยู่หน่อย	kho thii yuu noi	kɔ̄ˊ tīˋ yūˋ nɔ̄iˇ	請給我地址	engine-auto	
ที่ดิน	thii din	tīˋ dhin	土地	engine-auto	
ซื้อที่ดิน	seu thii din	sɯ̄~ tīˋ dhin	買土地	engine-auto	
ซื้อที่ดินไม่ได้	seu thii din mai dai	sɯ̄~ tīˋ dhin maiˋ dhaiˋ	不能買土地	engine-auto	
