課次	泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
初 2-4	สบายใจ	sabai jai	saˇ bhāi jai	心情愉快、舒心	engine-auto	
初 2-4	ขอให้สุขภาพแข็งแรง	kho hai suk phap khaeng raeng	kɔ̄ˊ haiˋ sukˇ pāpˋ kɛngˊ rɛ̄ng	祝你身體健康	engine-auto	
初 2-4	สุขภาพ	suk phap	sukˇ pāpˋ	健康、身體	book-exact	(book-exact已用引擎重新驗證)
初 2-4	แข็งแรง	khaeng raeng	kɛngˊ rɛ̄ng	健康、強壯	engine-auto	
初 2-4	หา	haa	hāˊ	找	engine-auto	
初 2-4	หาอะไร	haa arai	hāˊ aˇ rai	找什麼?	engine-auto	
初 2-4	เขาหาอะไร	khao haa arai	kāuˊ hāˊ aˇ rai	他找什麼?	engine-auto	
初 2-4	มาหาใคร	maa haa khrai	mā hāˊ krai	來找誰?	engine-auto	
初 2-4	คุณมาหาใคร	khun maa haa khrai	kun mā hāˊ krai	你來找誰?	engine-auto	
初 2-4	ฉันมาหาคุณ	chan maa haa khun	chanˊ mā hāˊ kun	我來找你	engine-auto	
初 2-4	หาเพื่อนคนไทย	haa phuean khon thai	hāˊ pɯ̄anˋ kon tai	找泰國朋友	engine-auto	
初 2-4	หาไม่เจอ	haa mai jer	hāˊ maiˋ jə̄	找不到	engine-auto	
初 2-4	เจอ	jer	jə̄	遇到、見面	engine-auto	
初 2-4	แล้วเจอกันนะ	laew jer kan na	lɛ̄u~ jə̄ gan na~	待會見喔	engine-auto	
初 2-4	เดี๋ยวเจอกันนะ	diao jer kan na	dhīauˊ jə̄ gan na~	等一下見喔	engine-auto	
初 2-4	หามือถือไม่เจอ	haa mue thue mai jer	hāˊ mɯ̄ tɯ̄ˊ maiˋ jə̄	找不到手機	engine-auto	
初 2-4	ไปหาหมอ	pai haa mor	bai hāˊ mɔ̄ˊ	去看醫生	engine-auto	
初 2-4	ไปหาหมอฟัน	pai haa mor fan	bai hāˊ mɔ̄ˊ fan	去看牙醫	engine-auto	
初 2-4	หมอดู	mor duu	mɔ̄ˊ dhū	算命師	engine-auto	
初 2-4	ดู	duu	dhū	看	engine-auto	
初 2-4	ดูทีวี	duu tii wii	dhū tī wī	看電視	engine-auto	
初 2-4	ไปหาหมอดู	pai haa mor duu	bai hāˊ mɔ̄ˊ dhū	去找算命師	engine-auto	
初 2-4	โชคไม่ดี	chok mai dii	chōkˋ maiˋ dhī	運氣不好	engine-auto	
初 2-4	โทร	thoo	tō	打電話	engine-auto	
初 2-4	โทรไปจอง	thoo pai jong	tō bai jɔ̄ng	打電話去預約/訂	engine-auto	
初 2-4	จอง	jong	jɔ̄ng	訂、預約	engine-auto	
初 2-4	หมอนวด	mor nuat	mɔ̄ˊ nūatˋ	按摩師	engine-auto	
初 2-4	โทรไปจองหมอนวด	thoo pai jong mor nuat	tō bai jɔ̄ng mɔ̄ˊ nūatˋ	打電話去預約按摩師	engine-auto	
初 2-4	ยินดี	yin dii	yin dhī	高興	engine-auto	
初 2-4	ยินดีด้วย	yin dii duay	yin dhī dhūayˋ	恭喜	engine-auto	
初 2-4	ยินดีด้วย ยินดีด้วย	yin dii duay yin dii duay	yin dhī dhūayˋ yin dhī dhūayˋ	恭喜恭喜	engine-auto	
初 2-4	ยินดีต้อนรับ	yin dii ton rap	yin dhī dɔ̄nˋ rap~	歡迎光臨	engine-auto	
初 2-4	ต้อนรับ	ton rap	dɔ̄nˋ rap~	接待、歡迎	engine-auto	
初 2-4	ยินดีที่ได้รู้จัก	yin dii thii dai ruu jak	yin dhī tīˋ dhaiˋ rū~ jakˇ	很高興認識你	engine-auto	
初 2-4	รู้จัก	ruu jak	rū~ jakˇ	認識	engine-auto	
初 2-4	วันนี้วันเกิดใคร	wan nii wan koet khrai	wan nī~ wan gə̄tˇ krai	今天是誰的生日?	engine-auto	
初 2-4	วันเกิด	wan koet	wan gə̄tˇ	生日	engine-auto	
初 2-4	เกิด	koet	gə̄tˇ	出生	engine-auto	
初 2-4	คุณเกิดวันที่เท่าไหร่	khun koet wan thii thao rai	kun gə̄tˇ wan tīˋ tāuˋ raiˇ	你是幾號出生的?	engine-auto	
初 2-4	คุณเกิดเดือนไหน	khun koet duean nai	kun gə̄tˇ dhɯ̄an naiˊ	你是哪個月份出生的?	engine-auto	
初 2-4	สุขสันต์วันเกิด	suk san wan koet	sukˇ sanˊ wan gə̄tˇ	生日快樂	engine-auto	
初 2-4	แฮปปี้เบิร์ธเดย์ (Happy Birthday)	haep pi boet de	hɛ̄pˋ bīˋ bhə̄tˇ dhē (Happy Birthday)	生日快樂 (英文音譯)	engine-auto	
初 2-4	เป็นห่วง	pen huang	ben hūangˇ	擔心	derived	
初 2-4	ผมเป็นห่วงคุณนะ	phom pen huang khun na	pomˊ ben hūangˇ kun na~	我很擔心你喔	derived	
初 2-4	ทำหน้า	tham naa	tam nāˋ	做臉	engine-auto	
初 2-4	ปวดใจ	puat jai	būatˇ jai	心痛	engine-auto	
初 2-4	เจ็บใจ	jeb jai	jepˇ jai	心痛 (帶有生氣)	engine-auto	
初 2-4	เจ็บหัวใจ	jeb hua jai	jepˇ hūaˊ jai	心痛 (生理)	engine-auto	
初 2-4	ยินดีต้อนรับสู่เมืองไทย	yin dii ton rap suu mueang thai	yin dhī dɔ̄nˋ rap~ sūˇ mɯ̄ang tai	歡迎來到泰國	engine-auto	
初 2-4	สู่	suu	sūˇ	到、往 (to)	engine-auto	
初 2-4	ยินดีต้อนรับสู่ไต้หวัน	yin dii ton rap suu taiwan	yin dhī dɔ̄nˋ rap~ sūˇ daiˋ wanˊ	歡迎來到台灣	engine-auto	
初 2-4	มีอีกไหมคะ	mii ik mai kha	mī īkˇ maiˊ ka~	還有嗎?	engine-auto	
初 2-4	อีก	ik	īkˇ	還、再	engine-auto	
初 2-4	ถ้าไม่มีแล้ว	tha mai mii laew	tāˋ maiˋ mī lɛ̄u~	如果沒有了	engine-auto	
初 2-5	เพราะว่า	prowa	prɔ~ wāˋ	因為	engine-auto	
初 2-5	ก็เลย	gloeey	gɔ̄ˋ lə̄i	所以	engine-auto	
初 2-5	ปวดหัว	puat hua	būatˇ hūaˊ	頭痛	engine-auto	
初 2-5	เพราะว่าปวดหัว	prowa puat hua	prɔ~ wāˋ būatˇ hūaˊ	因為頭痛	engine-auto	
初 2-5	ก็เลยไปซื้อยา	gloeey bpai sue ya	gɔ̄ˋ lə̄i bai sɯ̄~ yā	所以去買藥	engine-auto	
初 2-5	เพราะว่าปวดหัว ก็เลยไปซื้อยา	prowa puat hua gloeey bpai sue ya	prɔ~ wāˋ būatˇ hūaˊ gɔ̄ˋ lə̄i bai sɯ̄~ yā	因為頭痛，所以去買藥	engine-auto	
初 2-5	เพราะว่าชอบเมืองไทย	prowa chop muang thai	prɔ~ wāˋ chɔ̄pˋ mɯ̄ang tai	因為喜歡泰國	engine-auto	
初 2-5	ก็เลยมาเรียนภาษาไทย	gloeey maa rian pasa thai	gɔ̄ˋ lə̄i mā rīan pā sāˊ tai	所以來學泰文	engine-auto	
初 2-5	เพราะว่าชอบคนไทย	prowa chop khon thai	prɔ~ wāˋ chɔ̄pˋ kon tai	因為喜歡泰國人	engine-auto	
初 2-5	ก็เลยมาเรียนภาษาไทย	gloeey maa rian pasa thai	gɔ̄ˋ lə̄i mā rīan pā sāˊ tai	所以來學泰文	engine-auto	
初 2-5	มีโควิด-19	mee covid	mī kō wit~-19	有 Covid-19	engine-auto	
初 2-5	โควิด-19	covid	kō wit~-19	Covid-19	engine-auto	
初 2-5	เพราะว่ามีโควิด-19	prowa mee covid	prɔ~ wāˋ mī kō wit~-19	因為有 Covid-19	engine-auto	
初 2-5	ก็เลยต้องล้างมือบ่อย ๆ	gloeey tong lang mue boi boi	gɔ̄ˋ lə̄i dɔ̄ngˋ lāng~ mɯ̄ bhɔ̄iˇ bhɔ̄iˇ	所以要常常洗手	engine-auto	
初 2-5	ทำ	tham	tam	做	engine-auto	
初 2-5	ตา 2 ชั้น	dta 2 chan	dā 2 chan~	雙眼皮	engine-auto	
初 2-5	ทำตา 2 ชั้น	tham dta 2 chan	tam dā 2 chan~	做雙眼皮	engine-auto	
初 2-5	เขาทำตา 2 ชั้น	kao tham dta 2 chan	kāuˊ tam dā 2 chan~	他/她做雙眼皮	engine-auto	
初 2-5	จำไม่ได้	jam mai dai	jam maiˋ dhaiˋ	記不得	engine-auto	
初 2-5	ก็เลยจำไม่ได้	gloeey jam mai dai	gɔ̄ˋ lə̄i jam maiˋ dhaiˋ	所以記不得了	engine-auto	
初 2-5	เพื่อนก็เลยจำไม่ได้	pheuan gloeey jam mai dai	pɯ̄anˋ gɔ̄ˋ lə̄i jam maiˋ dhaiˋ	朋友所以記不得了	engine-auto	
初 2-5	ตัด	dtat	datˇ	剪、切	engine-auto	
初 2-5	ตัดผม	dtat pom	datˇ pomˊ	剪頭髮	engine-auto	
初 2-5	เพราะว่าผมยาว ก็เลยไปตัดผม	prowa pom yaao gloeey bpai dtat pom	prɔ~ wāˋ pomˊ yāu gɔ̄ˋ lə̄i bai datˇ pomˊ	因為頭髮長，所以去剪頭髮	engine-auto	
初 2-5	ตัดเล็บ	dtat lep	datˇ lep~	剪指甲	engine-auto	
初 2-5	ตัดแว่น	dtat waen	datˇ wɛ̄nˋ	配眼鏡	engine-auto	
初 2-5	ตัดเสื้อ	dtat seua	datˇ sɯ̄aˋ	訂做衣服	engine-auto	
初 2-5	ตัดใจ	dtat jai	datˇ jai	死心、放下	engine-auto	
初 2-5	ทำไมต้องตัดใจ	tammai tong dtat jai	tam mai dɔ̄ngˋ datˇ jai	為什麼要死心？	engine-auto	
初 2-5	รักเขา แต่เขาไม่รักเรา	rak kao dtae kao mai rak rao	rak~ kāuˊ dɛ̄ˇ kāuˊ maiˋ rak~ rāu	愛他，但他不愛我	engine-auto	
初 2-5	ก็เลยต้องตัดใจ	gloeey tong dtat jai	gɔ̄ˋ lə̄i dɔ̄ngˋ datˇ jai	所以得死心	engine-auto	
初 2-5	แว่นอันนี้	waen an ni	wɛ̄nˋ an nī~	這副眼鏡	engine-auto	
初 2-5	ดูดี	du dee	dhū dhī	好看	engine-auto	
初 2-5	แว่นอันนี้ดูดี	waen an ni du dee	wɛ̄nˋ an nī~ dhū dhī	這副眼鏡很好看	engine-auto	
初 2-5	คุณตัดแว่นที่ไหน	khun dtat waen ti nai	kun datˇ wɛ̄nˋ tīˋ naiˊ	你在哪裡配眼鏡？	engine-auto	
初 2-5	เธอต้องตัดใจ	thoe tong dtat jai	tə̄ dɔ̄ngˋ datˇ jai	你要死心	engine-auto	
初 2-5	ถ้าเขาไม่รักคุณ	tha kao mai rak khun	tāˋ kāuˊ maiˋ rak~ kun	如果他不愛你	engine-auto	
初 2-5	เธอก็ตัดใจ	thoe go dtat jai	tə̄ gɔ̄ˋ datˇ jai	你就死心	engine-auto	
初 2-5	เธอก็ต้องตัดใจป่ะ	thoe go tong dtat jai pa	tə̄ gɔ̄ˋ dɔ̄ngˋ datˇ jai baˇ	你就得死心啊	engine-auto	
初 2-5	ถ้าเขาไม่รักเธอ เธอก็ต้องตัดใจป่ะ	tha kao mai rak thoe thoe go tong dtat jai pa	tāˋ kāuˊ maiˋ rak~ tə̄ tə̄ gɔ̄ˋ dɔ̄ngˋ datˇ jai baˇ	如果他不愛你，你就得死心啊	engine-auto	
初 2-5	ล้าง	lang	lāng~	洗	engine-auto	
初 2-5	พ่อล้างรถ	por lang rot	pɔ̄ˋ lāng~ rot~	爸爸洗車	engine-auto	
初 2-5	แม่ล้างผัก	mae lang phak	mɛ̄ˋ lāng~ pakˇ	媽媽洗菜	engine-auto	
初 2-5	ล้างจาน	lang jaan	lāng~ jān	洗碗	engine-auto	
初 2-5	น้องชายล้างจาน	nong chai lang jaan	nɔ̄ng~ chāi lāng~ jān	弟弟洗碗	engine-auto	
初 2-5	น้องสาวล้างห้องน้ำ	nong sao lang hong nam	nɔ̄ng~ sāuˊ lāng~ hɔ̄ngˋ nām~	妹妹洗廁所	engine-auto	
初 2-5	ไม่ต้องล้างอะไร	mai tong lang a-rai	maiˋ dɔ̄ngˋ lāng~ aˇ rai	不用洗任何東西	engine-auto	
初 2-5	นวด	nuat	nūatˋ	按摩	engine-auto	
初 2-5	นวดไทย	nuat thai	nūatˋ tai	泰式按摩	engine-auto	
初 2-5	ชอบนวดไทยไหมคะ	chop nuat thai mai ka	chɔ̄pˋ nūatˋ tai maiˊ ka~	喜歡泰式按摩嗎？	engine-auto	
初 2-5	นวดเท้า	nuat thao	nūatˋ tāu~	腳底按摩	engine-auto	
初 2-5	นวดน้ำมัน	nuat nam man	nūatˋ nām~ man	油壓	engine-auto	
初 2-5	นวดตัว	nuat tua	nūatˋ dūa	身體按摩	engine-auto	
初 2-5	นวดหลัง	nuat lang	nūatˋ langˊ	背部按摩	engine-auto	
初 2-5	ไหล่	lai	laiˇ	肩膀	engine-auto	
初 2-5	นวดไหล่	nuat lai	nūatˋ laiˇ	肩膀按摩	engine-auto	
初 2-5	ร้านนวด	ran nuat	rān~ nūatˋ	按摩店	engine-auto	
初 2-5	ไปร้านนวด	bpai ran nuat	bai rān~ nūatˋ	去按摩店	engine-auto	
初 2-5	คุณอยากนวดอะไร	khun yaak nuat a-rai	kun yākˋ nūatˋ aˇ rai	你想按什麼？	engine-auto	
初 2-5	คุณอยากนวดกี่ชั่วโมง	khun yaak nuat gii chua mong	kun yākˋ nūatˋ gīˇ chūaˋ mōng	你想按幾個小時？	engine-auto	
初 2-5	ฉันอยากนวด 3 ชั่วโมง	chan yaak nuat saam chua mong	chanˊ yākˋ nūatˋ 3 chūaˋ mōng	我想按三個小時	engine-auto	
初 2-5	ปวด	puat	būatˇ	痠痛	engine-auto	
初 2-5	ฟัน	fan	fan	牙齒	engine-auto	
初 2-5	ปวดฟัน	puat fan	būatˇ fan	牙齒痛	engine-auto	
初 2-5	ทำไมปวดฟัน	tammai puat fan	tam mai būatˇ fan	為什麼牙齒痛？	engine-auto	
初 2-5	ปวดตา	puat dta	būatˇ dā	眼睛痠	engine-auto	
初 2-5	เจ็บตา	jep dta	jepˇ dā	眼睛痛 (受傷)	engine-auto	
初 2-5	ปวดหัว	puat hua	būatˇ hūaˊ	頭痛 (內部不適)	engine-auto	
初 2-5	เจ็บหัว	jep hua	jepˇ hūaˊ	頭痛 (被撞到)	engine-auto	
初 2-5	รู้แล้ว	ru laew	rū~ lɛ̄u~	知道了	engine-auto	
初 2-5	ไม่รู้ทำไมปวดตา	mai ru tammai puat dta	maiˋ rū~ tam mai būatˇ dā	不知道為什麼眼睛痠	engine-auto	
初 2-5	เจ็บ	jep	jepˇ	痛 (較表面的、受傷的痛)	engine-auto	
初 2-5	เจ็บขา	jep kha	jepˇ kāˊ	腳痛	engine-auto	
初 2-5	เจ็บคอ	jep khor	jepˇ kɔ̄	喉嚨痛	engine-auto	
初 2-5	ทำไมเจ็บคออย่างนี้	tammai jep khor yang nii	tam mai jepˇ kɔ̄ yāngˋ nī~	為什麼喉嚨這麼痛？	engine-auto	
初 2-5	เพราะว่ากินของทอดเยอะ	prowa gin khong thot yer	prɔ~ wāˋ gin kɔ̄ngˊ tɔ̄tˋ yə~	因為吃很多炸物	engine-auto	
初 2-5	เยอะ	yer	yə~	多	engine-auto	
初 2-5	ขอให้มีเงินเยอะ ๆ	kho hai mee ngern yer yer	kɔ̄ˊ haiˋ mī ngə̄n yə~ yə~	祝你有很多錢	engine-auto	
初 2-5	ก็เลยเจ็บคอ	gloeey jep khor	gɔ̄ˋ lə̄i jepˇ kɔ̄	所以喉嚨痛	engine-auto	
初 2-5	เมื่อย	muey	mɯ̄aiˋ	痠 (肌肉疲勞的痠)	engine-auto	
初 2-5	เมื่อยขา	muey kha	mɯ̄aiˋ kāˊ	腳痠	engine-auto	
初 2-5	เดินเยอะ	dern yer	dhə̄n yə~	走很多路	engine-auto	
初 2-5	ก็เลยเมื่อยขา	gloeey muey kha	gɔ̄ˋ lə̄i mɯ̄aiˋ kāˊ	所以腳痠	engine-auto	
初 2-5	เดินเยอะ ก็เลยเมื่อยขา	dern yer gloeey muey kha	dhə̄n yə~ gɔ̄ˋ lə̄i mɯ̄aiˋ kāˊ	走很多路，所以腳痠	engine-auto	
初 2-5	เขียนเยอะ	khian yer	kīanˊ yə~	寫很多	engine-auto	
初 2-5	เมื่อยมือ	muey mue	mɯ̄aiˋ mɯ̄	手痠	engine-auto	
初 2-5	ก็เลยเมื่อยมือ	gloeey muey mue	gɔ̄ˋ lə̄i mɯ̄aiˋ mɯ̄	所以手痠	engine-auto	
初 2-5	นั่งนาน	nang naan	nangˋ nān	坐很久	engine-auto	
初 2-5	เมื่อยหลัง	muey lang	mɯ̄aiˋ langˊ	背痠	engine-auto	
初 2-5	ก็เลยเมื่อยหลัง	gloeey muey lang	gɔ̄ˋ lə̄i mɯ̄aiˋ langˊ	所以背痠	engine-auto	
初 2-5	ถ้าเมื่อยก็ไปนวด	tha muey go bpai nuat	tāˋ mɯ̄aiˋ gɔ̄ˋ bai nūatˋ	如果痠就去按摩	engine-auto	
初 2-5	ให้	hai	haiˋ	給	engine-auto	
初 2-5	ซื้อโทรศัพท์มือถือให้แฟน	seu torasap mue thue hai faen	sɯ̄~ tō ra~ sapˇ mɯ̄ tɯ̄ˊ haiˋ fɛ̄n	買手機給男/女朋友	engine-auto	
初 2-5	วันเกิดของเขา	wan geurt khong kao	wan gə̄tˇ kɔ̄ngˊ kāuˊ	他的生日	engine-auto	
初 2-5	ซื้อรถให้เมีย	seu rot hai mia	sɯ̄~ rot~ haiˋ mīa	買車給老婆	engine-auto	
初 2-5	เอาเงินให้แม่	ao ngern hai mae	au ngə̄n haiˋ mɛ̄ˋ	拿錢給媽媽	engine-auto	
初 2-5	เอาข้าวให้ลูกกิน	ao khao hai luk gin	au kāuˋ haiˋ lūkˋ gin	拿飯給孩子吃	engine-auto	
初 2-5	นั่งให้สบาย	nang hai sabai	nangˋ haiˋ saˇ bhāi	坐得舒服	engine-auto	
初 2-5	เที่ยวให้สนุก	tiao hai sanuk	tīauˋ haiˋ saˇ nuk~	玩得開心	engine-auto	
初 2-5	กินให้อิ่ม	gin hai im	gin haiˋ imˇ	吃飽	engine-auto	
初 2-5	ไม่ต้องเกรงใจ	mai tong kreng jai	maiˋ dɔ̄ngˋ grēng jai	不用客氣	engine-auto	
初 2-5	กินให้อิ่ม ไม่ต้องเกรงใจ	gin hai im mai tong kreng jai	gin haiˋ imˇ maiˋ dɔ̄ngˋ grēng jai	吃飽，不用客氣	engine-auto	
初 2-5	ทำให้	tham hai	tam haiˋ	使、讓	engine-auto	
初 2-5	เขาทำให้ผมปวดหัว	kao tham hai pom puat hua	kāuˊ tam haiˋ pomˊ būatˇ hūaˊ	他讓我頭痛	engine-auto	
初 2-5	เขาทำให้ฉันปวดหัว	kao tham hai chan puat hua	kāuˊ tam haiˋ chanˊ būatˇ hūaˊ	他/她讓我頭痛	engine-auto	
初 2-5	กินผัก	gin phak	gin pakˇ	吃菜	engine-auto	
初 2-5	แข็งแรง	khaeng raeng	kɛngˊ rɛ̄ng	健康、強壯	engine-auto	
初 2-5	ขอให้สุขภาพแข็งแรง	kho hai suk kapap khaeng raeng	kɔ̄ˊ haiˋ sukˇ pāpˋ kɛngˊ rɛ̄ng	祝你身體健康	engine-auto	
初 2-5	กินผักทำให้แข็งแรง	gin phak tham hai khaeng raeng	gin pakˇ tam haiˋ kɛngˊ rɛ̄ng	吃菜讓人健康	engine-auto	
初 2-5	เขาไม่ค่อยแข็งแรง	kao mai khoi khaeng raeng	kāuˊ maiˋ kɔ̄iˋ kɛngˊ rɛ̄ng	他/她不太健康	engine-auto	
初 2-5	เขาแข็งแรงมาก ๆ	kao khaeng raeng mak mak	kāuˊ kɛngˊ rɛ̄ng mākˋ mākˋ	他/她非常強壯	engine-auto	
初 2-5	ขอให้	kho hai	kɔ̄ˊ haiˋ	祝	engine-auto	
初 2-5	สุขสันต์วันเกิด	suk san wan geurt	sukˇ sanˊ wan gə̄tˇ	生日快樂	engine-auto	
初 2-5	ขอให้มีเงินเยอะ ๆ	kho hai mee ngern yer yer	kɔ̄ˊ haiˋ mī ngə̄n yə~ yə~	祝你有很多錢	engine-auto	
初 2-5	ขอให้มีความสุขมาก ๆ	kho hai mee khwam suk mak mak	kɔ̄ˊ haiˋ mī kwām sukˇ mākˋ mākˋ	祝你非常快樂	engine-auto	
初 2-5	สุขสันต์วันเกิด ขอให้มีความสุขมาก ๆ	suk san wan geurt kho hai mee khwam suk mak mak	sukˇ sanˊ wan gə̄tˇ kɔ̄ˊ haiˋ mī kwām sukˇ mākˋ mākˋ	生日快樂，祝你非常快樂	engine-auto	
初 2-5	ขอให้สุขกายสบายใจ	kho hai suk gai sabai jai	kɔ̄ˊ haiˋ sukˇ gāi saˇ bhāi jai	祝你身心愉快	engine-auto	
初 2-5	สุขสันต์วันเกิด ขอให้สุขภาพแข็งแรง	suk san wan geurt kho hai suk kapap khaeng raeng	sukˇ sanˊ wan gə̄tˇ kɔ̄ˊ haiˋ sukˇ pāpˋ kɛngˊ rɛ̄ng	生日快樂，祝你身體健康	engine-auto	
初 2-5	ขอให้แข็งแรง	kho hai khaeng raeng	kɔ̄ˊ haiˋ kɛngˊ rɛ̄ng	祝你健康	engine-auto	
初 2-5	เกิด	geurt	gə̄tˇ	出生	engine-auto	
初 2-5	คุณเกิดวันที่เท่าไหร่	khun geurt wan thi tao rai	kun gə̄tˇ wan tīˋ tāuˋ raiˇ	你是幾號出生的？	engine-auto	
初 2-5	ฉันเกิดวันที่ 12	chan geurt wan thi sip song	chanˊ gə̄tˇ wan tīˋ 12	我是12號出生的	engine-auto	
初 2-5	ฉันเกิดวันที่ 21	chan geurt wan thi yee sip et	chanˊ gə̄tˇ wan tīˋ 21	我是21號出生的	engine-auto	
初 2-5	เดือนไหน	duan nai	dhɯ̄an naiˊ	幾月	engine-auto	
初 2-5	คุณเกิดเดือนไหน	khun geurt duan nai	kun gə̄tˇ dhɯ̄an naiˊ	你是幾月出生的？	engine-auto	
初 2-5	เดือน 3	duan saam	dhɯ̄an 3	三月	engine-auto	
初 2-5	ผมเกิดเดือน 3	pom geurt duan saam	pomˊ gə̄tˇ dhɯ̄an 3	我是三月出生的	engine-auto	
初 2-5	ฉันเกิดเดือน 12	chan geurt duan sip song	chanˊ gə̄tˇ dhɯ̄an 12	我是十二月出生的	engine-auto	
初 2-5	ปีไหน	pi nai	bī naiˊ	哪一年	engine-auto	
初 2-5	คุณเกิดปีไหน	khun geurt pi nai	kun gə̄tˇ bī naiˊ	你是哪一年出生的？	engine-auto	
初 2-5	ผมเกิดปี 1991	pom geurt pi 1991	pomˊ gə̄tˇ bī 1991	我是1991年出生的	engine-auto	
初 2-5	ฉันเกิดปีหมู	chan geurt pi muu	chanˊ gə̄tˇ bī mūˊ	我是豬年出生的	engine-auto	
初 2-5	ปีเสือ	pi seua	bī sɯ̄aˊ	虎年	engine-auto	
初 2-5	เสือ	seua	sɯ̄aˊ	老虎	engine-auto	
初 2-5	เกิดปีไก่	geurt pi gai	gə̄tˇ bī gaiˇ	雞年出生	engine-auto	
初 2-5	หา	ha	hāˊ	找	engine-auto	
初 2-5	เขาหาของ	kao ha khong	kāuˊ hāˊ kɔ̄ngˊ	他/她在找東西	engine-auto	
初 2-5	หาเจอ	ha jer	hāˊ jə̄	找到	engine-auto	
初 2-5	เขาหาเจอไหม	kao ha jer mai	kāuˊ hāˊ jə̄ maiˊ	他/她找到了嗎？	engine-auto	
初 2-5	หาเจอไหม	ha jer mai	hāˊ jə̄ maiˊ	找到了嗎？	engine-auto	
初 2-5	เขาหานานแล้ว	kao ha nan laew	kāuˊ hāˊ nān lɛ̄u~	他/她找很久了	engine-auto	
初 2-5	หาไม่เจอ	ha mai jer	hāˊ maiˋ jə̄	找不到	engine-auto	
初 2-5	แต่หาไม่เจอ	tae ha mai jer	dɛ̄ˇ hāˊ maiˋ jə̄	但是找不到	engine-auto	
初 2-5	เขาหานานแล้ว แต่หาไม่เจอ	kao ha nan laew tae ha mai jer	kāuˊ hāˊ nān lɛ̄u~ dɛ̄ˇ hāˊ maiˋ jə̄	他找很久了，但是找不到	engine-auto	
初 2-5	หาหมอ	ha mor	hāˊ mɔ̄ˊ	看醫生	engine-auto	
初 2-5	ปู่ไปหาหมอ	pu bpai ha mor	būˇ bai hāˊ mɔ̄ˊ	爺爺去看醫生	engine-auto	
初 2-5	เพราะว่าปู่ไม่สบาย	prowa pu mai sabai	prɔ~ wāˋ būˇ maiˋ saˇ bhāi	因為爺爺不舒服	engine-auto	
初 2-5	ก็เลยไปหาหมอ	gloeey bpai ha mor	gɔ̄ˋ lə̄i bai hāˊ mɔ̄ˊ	所以去看醫生	engine-auto	
初 2-5	เพราะว่าปู่ไม่สบาย ก็เลยไปหาหมอ	prowa pu mai sabai gloeey bpai ha mor	prɔ~ wāˋ būˇ maiˋ saˇ bhāi gɔ̄ˋ lə̄i bai hāˊ mɔ̄ˊ	因為爺爺不舒服，所以去看醫生	engine-auto	
初 2-5	ดู	du	dhū	看	engine-auto	
初 2-5	ดูมือถือ	du mue thue	dhū mɯ̄ tɯ̄ˊ	看手機	engine-auto	
初 2-5	ถ้าดูมือถือนาน	tha du mue thue nan	tāˋ dhū mɯ̄ tɯ̄ˊ nān	如果看手機很久	engine-auto	
初 2-5	ก็จะเมื่อยตา	go ja muey dta	gɔ̄ˋ jaˇ mɯ̄aiˋ dā	眼睛就會痠	engine-auto	
初 2-5	ดูทีวี	du tv	dhū tī wī	看電視	engine-auto	
初 2-5	ดูหมอ	du mor	dhū mɔ̄ˊ	算命	engine-auto	
初 2-5	ไปดูหมอ	bpai du mor	bai dhū mɔ̄ˊ	去算命	engine-auto	
初 2-5	โชคไม่ดี	chok mai dee	chōkˋ maiˋ dhī	運氣不好	engine-auto	
初 2-5	ก็เลยไปดูหมอ	gloeey bpai du mor	gɔ̄ˋ lə̄i bai dhū mɔ̄ˊ	所以去算命	engine-auto	
初 2-5	โชคไม่ดี ก็เลยไปดูหมอ	chok mai dee gloeey bpai du mor	chōkˋ maiˋ dhī gɔ̄ˋ lə̄i bai dhū mɔ̄ˊ	運氣不好，所以去算命	engine-auto	
初 2-5	หมอดู	mor du	mɔ̄ˊ dhū	算命師	engine-auto	
初 2-5	เก่งมาก	geng mak	gēngˇ mākˋ	很厲害	engine-auto	
初 2-5	หมอดูเก่งมาก	mor du geng mak	mɔ̄ˊ dhū gēngˇ mākˋ	算命師很厲害	engine-auto	
初 2-5	หมอดูคนนี้	mor du khon ni	mɔ̄ˊ dhū kon nī~	這位算命師	engine-auto	
初 2-5	หมอดูคนนี้เก่งมาก	mor du khon ni geng mak	mɔ̄ˊ dhū kon nī~ gēngˇ mākˋ	這位算命師很厲害	engine-auto	
初 2-5	โทร	tho	tō	打電話	engine-auto	
初 2-5	จอง	jong	jɔ̄ng	訂位、預約	engine-auto	
初 2-5	โทรไปจองร้านอาหาร	tho bpai jong ran a-han	tō bai jɔ̄ng rān~ ā hānˊ	打電話去訂餐廳	engine-auto	
初 2-5	ที่นั่ง	thi nang	tīˋ nangˋ	座位	engine-auto	
初 2-5	โทรไปจองที่นั่ง	tho bpai jong thi nang	tō bai jɔ̄ng tīˋ nangˋ	打電話去訂位	engine-auto	
初 2-5	โทรไปหาเพื่อน	tho bpai ha pheuan	tō bai hāˊ pɯ̄anˋ	打電話給朋友	engine-auto	
初 2-5	โทรมาทำไม	tho ma tam mai	tō mā tam mai	打來幹嘛？	engine-auto	
初 2-5	ยินดีต้อนรับ	yin dee ton rap	yin dhī dɔ̄nˋ rap~	歡迎光臨	engine-auto	
